date,user,is_retweet,is_quote,text,quoted_text
2020-04-12 12:22:18,arunkn3,True,True,RT @narendramodi: Very inspiring gesture by our former Prime Minister @H_D_Devegowda Ji. #IndiaFightsCorona,Out of the pension he receives, Former Prime Minster @H_D_Devegowda has contributed Rs. 1,00,000/- each to PM Cares Fund, Govt. of Karnataka Chief Minister's Relief Fund, and Kerala Chief Minister's Distress Relief Fund.
- Office of HDD

@PMOIndia
@CMofKarnataka
@CMOKerala
2020-04-12 12:22:19,scaredcrow15,True,False,RT @TigerRajaSingh: 30 अप्रैल तक लॉकडौन बढ़ गया है

#Goshamahal के ज़रूरत मंद लोग परेशान न हो....जब तक सब कुछ ठीक नही होता तब तक मैं आपकी…,
2020-04-12 12:22:20,arvindk24189740,False,True,मुझ हिन्दू के लिए धरती और मेरे अस्तित्व का आधार गाय, गंगा, गीता और गायत्री मंत्र है। पिछले दस दिन से सत्ता की ड्योढ़ी पर माथा रगड़ कर थक चुका हूं। कृपया ध्यान दें...
#मर_रही_हैं_गौ_मां
@narendramodi 
@PMOIndia 
@ChouhanShivraj 
@JM_Scindia 
@KailashOnline 

#सुमन्त_हिन्दू,People from all age groups, diverse individuals and institutions, everyone is coming together to contribute to PM-CARES for a healthy India. #IndiaFightsCorona 

https://t.co/2l7MCd6Ty0

https://t.co/rOG9hT1h7d

https://t.co/BBOh4vQBKz
2020-04-12 12:22:22,JayeshGiri10,True,False,RT @OfficeofSSC: मैं जबलपुर, ग्वालियर और शिवपुरी की जनता को धन्यवाद देता हूँ, आपके सहयोग से ही जिला प्रशासन #COVID19 के संक्रमण को काबू कर…,
2020-04-12 12:22:23,sridhar78026308,True,True,RT @cbic_india: #IndiaFightsCorona,In an endeavour to provide immediate liquidity to the trade and industry CGST Jaipur Zone has processed  510 GST refund claims involving amount of Rs 68 Cr during 30 Mar-12 Apr 20 by working from home using remote access facility provided by CBIC during lockdown  @cbic_india
2020-04-12 12:22:23,DefencePROPalam,True,False,RT @IAF_MCC: #हर_काम_देश_के_नाम : भारतीय वायु सेना और #कोरोना_वॉरियर्स देश में #कोरोना_वायरस के फैलाव से निपटने के लिए सक्रिय रूप से भारत स…,
2020-04-12 12:22:23,manjinielumalai,True,False,RT @cmohry: #HaryanaAaj : Chief Minister Shri @mlkhattar addressing the people.    #IndiaFightsCorona https://t.co/kvW3yQ3mR2,
2020-04-12 12:22:24,ChinmayPatelPtn,False,False,My father is making homemade Mask for family members as  well as needy people's. They giving free to the needy people's and share awareness for social distancing to.  I salute to them for their contribution to fight against COVID-19. 
@narendramodi 
#IndiaFightsCorona https://t.co/MCsKcpNs3p,
2020-04-12 12:22:25,KasarPatil96,True,False,RT @ajaydevgn: DISGUSTED &amp; ANGRY to read reports of “educated” persons attacking doctors in their neighbourhood on baseless assumptions. Su…,
